| i  | V                                        | fitness              | AH3                  | AF3                 | AF5                 | A3N3                | s                 | tau                | lambda1              | lambda2             |
| 50 | 0.0000263421659422171947962688920430     | 5.98962846292378e-11 | 7.05624135733504     | -99.9477620751055   | -21.410354243422702 | -99.80354732879555  | 99.17827562358046 | 18.578895641314407 | -2.29996759782223e-7 | 2.30001679191545e-7 |
| 51 | 0.0000504069193505255494589661902083     | 1.36641251481023e-10 | 10.312324725047972   | -71.22181395132903  | -72.10919667339402  | -81.31384115040181  | 99.92549132873168 | 13.349555053889883 | -3.27861239688906e-7 | 3.27851683583578e-7 |
| 52 | 0.00000176160884559547581064322795824    | 1.72102879580487e-11 | 1.498461751144518    | -88.22900112605814  | -93.36863141914426  | -74.6445170089646   | 97.07189220723419 | 52.64965428712609  | -5.17065059538482e-8 | 5.17353142331315e-8 |
| 53 | 0.0000713757439019909920539797010264     | 1.46379080893763e-10 | 9.611114690543715    | -78.16298164888488  | -37.82994070997583  | -44.75962608921766  | 97.88955122653562 | 12.32325361136315  | -3.42611169865453e-7 | 3.42598629076427e-7 |
| 54 | 0.00000779533892630617159576894570350    | 2.26349107945973e-11 | -0.44302645312279765 | -12.984075118441837 | -39.89537564697976  | 15.087096469137592  | 98.45608454842079 | 14.296855684167664 | -1.52827507352567e-8 | 1.52715395326118e-8 |
| 55 | 0.00000827444943562132386241647630243    | 1.13066781662897e-10 | -7.576964163395687   | -1.373610161803171  | -91.12381118553768  | 60.23851696245342   | 99.92282990572184 | 6.713329589573669  | -2.27223601687076e-7 | 2.27334986412173e-7 |
| 56 | 0.00000836199200461095464725642251169    | 8.61806561613364e-11 | 5.362936128502753    | -35.11622484488619  | 46.02352833701261   | -97.98955793800471  | 87.93195510464221 | 19.568743092344686 | -2.74068159212019e-7 | 2.74057294751259e-7 |
| 57 | 0.000000737964586796670523466401547807   | 3.95094470479667e-12 | -0.9762965395228207  | -87.46760485658234  | -44.7537591790333   | 76.81760784870954   | 93.78945812650541 | 76.39759028232652  | -3.72712852407251e-8 | 3.72764655685840e-8 |
| 58 | 0.0000119809423946201045374417709644     | 2.20959453969672e-11 | 2.41923040465268     | -54.02480094881916  | 90.68556629840677   | -33.26690274303472  | 99.00312211422586 | 19.333220431412236 | -8.15151997005136e-8 | 8.15451270749234e-8 |
| 59 | 0.0000915357834364438079739409448443     | 6.13435559660368e-11 | 5.602878931559687    | -48.773558279282646 | -39.36561188793768  | 28.559830851288837  | 94.82499498616251 | 9.79534596387337   | -2.57362413406133e-7 | 2.57361605450322e-7 |
| 60 | 0.0000217084829802297469550018127471     | 2.72208720078988e-11 | 0.17532498242023564  | -89.2597517920094   | -38.97864501312818  | 20.931202022393208  | 96.16276356619801 | 19.346710976008787 | -3.12911486160324e-8 | 3.13442488402594e-8 |
| 61 | 0.00000000549840618549037304001257230740 | 2.34134545709544e-10 | 2.2609951982473007   | 3.210003942474998   | -61.5253865503077   | -42.37545104724922  | 99.20180118281627 | 18.94368168200161  | -6.95374565804304e-8 | 6.99950630085192e-8 |
| 62 | 0.00000497544760217990421666918107735    | 3.44807567984133e-12 | 0.6950123789915921   | -78.52011623553186  | 57.387185873704595  | -13.254160043433274 | 99.04571946393055 | 29.077847371278388 | -2.54255809828388e-8 | 2.54241979821659e-8 |
| 63 | 0.00000102065730921170451764615986351    | 1.43406410049781e-12 | -0.776056417469178   | -78.9787435325238   | -35.96279744087536  | 48.313846771324364  | 92.54250040527205 | 58.98721801336545  | -3.08294733670546e-8 | 3.08305290350829e-8 |
| 64 | 0.000000271974027969965925301579993262   | 2.33151018670097e-11 | 3.7237943372834224   | 1.9658817856433473  | -62.63842339628503  | -91.94777912528728  | 96.46586194519247 | 24.910704357744528 | -1.28891166563959e-7 | 1.28903372914069e-7 |
| 65 | 0.00000815172915609873070330940181272    | 1.88459032475190e-11 | 2.3021155564410805   | -98.75056022903242  | -37.986989871383955 | -56.34183463285047  | 89.72867862177146 | 28.710027140537964 | -1.12674202475659e-7 | 1.12689223746789e-7 |
