idx,V,V_O,fitness,AH3,AH3_O,AF3,AF3_O,AF5,AF5_O,A3N3,A3N3_O,AD5,AD5_O,s,tau,lambda1,lambda1_O,lambda2,lambda2_O,taquiónico,taquiónico_O
22,9.28920046600773994904029570230,-0.000117130000000000000000000000000,0.0968411623036122,13.44278232049436,0.268442466227236679300000000000,39.36581463564545,-0.0397849749059725573000000000000,98.556726235172,1.63592151122898482000000000000,-81.68613903194014,-1.78776421956490615900000000000,8.075678212388596,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.334516945128926,0.00123830000000000000000000000000,95.2693143841015,0.00602760000000000000000000000000,0,0
23,-5.43709890542621855011514206388,-0.000117130000000000000000000000000,0.100276953991163,9.988672718373891,0.268442466227236679300000000000,-28.56808203985939,-0.0397849749059725573000000000000,70.55735098396036,1.63592151122898482000000000000,-92.99513789314446,-1.78776421956490615900000000000,51.89051669660765,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.168015378021213,0.00123830000000000000000000000000,37.8357653119946,0.00602760000000000000000000000000,1,0
24,5.99645297444743868030719215306,-0.000117130000000000000000000000000,0.156226409163980,14.031673037657939,0.268442466227236679300000000000,31.312520480680888,-0.0397849749059725573000000000000,53.91053011786545,1.63592151122898482000000000000,-67.01832499391786,-1.78776421956490615900000000000,14.409376873638394,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.149232050933298,0.00123830000000000000000000000000,62.2967208049266,0.00602760000000000000000000000000,0,0
25,-13.5736122779129370358288615179,-0.000117130000000000000000000000000,0.0762337657903672,8.99888951225553,0.268442466227236679300000000000,-74.01277424136805,-0.0397849749059725573000000000000,11.451802601959287,1.63592151122898482000000000000,-72.90714498592968,-1.78776421956490615900000000000,89.50630579978966,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-8.99781314126956,0.00123830000000000000000000000000,1.48185836060483,0.00602760000000000000000000000000,1,0
26,17.7340017678766705385331291642,-0.000117130000000000000000000000000,0.123318400545696,36.06529375776549,0.268442466227236679300000000000,98.71891775602083,-0.0397849749059725573000000000000,-10.712883624232887,1.63592151122898482000000000000,-74.68602486819907,-1.78776421956490615900000000000,-22.700294921818625,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-1.86383367844360,0.00123830000000000000000000000000,67.9489399020050,0.00602760000000000000000000000000,1,0
27,9.80472411851202814354079174717,-0.000117130000000000000000000000000,0.141673999137823,31.793287687902506,0.268442466227236679300000000000,88.50117346674668,-0.0397849749059725573000000000000,-12.82599666528246,1.63592151122898482000000000000,-88.02989189326765,-1.78776421956490615900000000000,3.688111795388437,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-1.75284539292158,0.00123830000000000000000000000000,44.7331033905434,0.00602760000000000000000000000000,1,0
28,17.5729764478140316538778740464,-0.000117130000000000000000000000000,0.165259179068166,25.192835904407843,0.268442466227236679300000000000,92.45615699482494,-0.0397849749059725573000000000000,-33.2740174517925,1.63592151122898482000000000000,-21.549374848414743,-1.78776421956490615900000000000,-36.62685318288721,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-1.19014785881516,0.00123830000000000000000000000000,47.6843813888337,0.00602760000000000000000000000000,1,0
29,-6.42726363965028933289688207264,-0.000117130000000000000000000000000,0.0427150398652081,-1.2013528098294444,0.268442466227236679300000000000,-30.899909778271905,-0.0397849749059725573000000000000,-17.127213442153618,1.63592151122898482000000000000,-2.5779033261125335,-1.78776421956490615900000000000,31.09781403420689,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-20.7250429598271,0.00123830000000000000000000000000,-0.0246736535811069,0.00602760000000000000000000000000,1,0
30,-3.09401614209292843877248880295,-0.000117130000000000000000000000000,0.122187898104628,3.243163634251772,0.268442466227236679300000000000,-35.58943262475928,-0.0397849749059725573000000000000,34.5941220881613,1.63592151122898482000000000000,-35.39181575352086,-1.78776421956490615900000000000,39.77038459770051,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.0785401180412713,0.00123830000000000000000000000000,24.5347066492299,0.00602760000000000000000000000000,1,0
31,15.7630333068631739984382618960,-0.000117130000000000000000000000000,0.104789754960337,27.029919795128805,0.268442466227236679300000000000,79.30258236742281,-0.0397849749059725573000000000000,15.250608469418097,1.63592151122898482000000000000,-61.92059282194047,-1.78776421956490615900000000000,-17.5054830853566,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.663982921718293,0.00123830000000000000000000000000,72.6501922982278,0.00602760000000000000000000000000,1,0
